#time,accel_x,accel_y,accel_z
2995.787989,-296.881006,5099.649536,-6402.095239
2995.788236,933.738647,10601.524951,-4376.600635
2995.788482,1297.657300,15433.023901,-5439.626172
2995.788728,1599.326709,17415.422876,-7173.028174
2995.788974,2331.952417,17108.965063,-9643.844287
2995.789220,2710.236279,15035.586426,-8422.801440
2995.789466,2681.505859,12876.016528,-5870.582471
2995.789712,3428.496777,14125.789795,-4946.420630
2995.789959,3548.206860,18952.500342,-5152.321973
2995.790205,3284.844678,25536.554907,-8834.604126
2995.790451,2691.082666,31268.273682,-10639.832178
2995.790697,2044.648218,34725.500879,-10046.070166
2995.790943,1838.746875,36042.311792,-9222.464795
2995.791189,2236.184351,34787.750122,-7541.735229
2995.791436,2762.908716,31196.447632,-9524.134204
2995.791682,3256.114258,26350.583472,-11683.704102
2995.791928,2839.523169,21485.565698,-12157.756030
2995.792174,1833.958472,17080.234644,-12090.718384
2995.792420,1393.425366,12832.920898,-9686.939917
2995.792666,866.701001,8437.166650,-9591.171851
2995.792912,933.738647,5530.605835,-11382.034692
2995.793159,1134.851587,4141.968872,-12895.170142
2995.793405,651.222852,3246.537451,-14346.056348
2995.793651,-339.976636,2925.714429,-12488.155859
2995.793897,-531.512769,1407.790576,-10998.962427
2995.794143,363.918652,-2638.410229,-11156.979736
2995.794389,1498.770239,-5645.527515,-12344.503760
2995.794635,359.130249,-4199.429712,-15021.221216
2995.794882,-1412.578979,-4386.177441,-14542.380884
2995.795128,-1618.480322,-6861.781958,-13120.225098
2995.795374,-871.489404,-11027.692847,-11137.826123
2995.795620,-33.518823,-16218.322046,-10448.296045
2995.795866,158.017310,-19718.644873,-13005.303418
2995.796112,-1230.619653,-21016.302173,-13848.062402
2995.796358,-2164.358301,-22117.634937,-13962.984082
2995.796605,-1848.323682,-23242.909717,-11846.509814
2995.796851,-1010.353101,-25072.079785,-8523.357910
2995.797097,-359.130249,-27657.817578,-9346.963281
2995.797343,292.092603,-28323.405640,-10376.469995
2995.797589,574.608398,-26542.119604,-11070.788477
2995.797835,756.567725,-25230.097095,-10994.174023
2995.798082,703.895288,-26599.580444,-7829.039429
2995.798328,-363.918652,-28423.962109,-6588.842969
2995.798574,-1307.234106,-26652.252881,-7196.970190
2995.798820,-2331.952417,-21274.875952,-9040.505469
2995.799066,-3639.186523,-13383.587280,-11094.730493
